Station Display Name,Access Category,Port 1: Voltage (V),Org Name,Address  1,Address  2,Floor Label,City,State,Postal Code,No. of Ports,EVSE Latitude and Longitude,New Georeferenced Column
ENCINO STATIONS / ARM EMPLOYEES,Workplace,40A,"ATX Office Owner 2, LP",5707 Southwest Pkwy,,2,Austin,Texas,78735,2,30.243704,"(30.243704, -97.846168)"
GPT / GPT 3,Multifamily Commercial,40A,Gables Park Tower,787-799 W 3rd St,,,Austin,Texas,78701,2,30.268396,"(30.268396, -97.754401)"
NATIONAL INSTRU / 1&2,Workplace,40A,National Instruments,11500 N Mopac Expy,,2nd,Austin,Texas,78759,2,30.408792,"(30.408792, -97.725312)"
PIE AE / ZILKERPARKPOLO2,Parks and Recreation,40A,AUSTIN ENERGY,2310 Andrew Zilker Rd,,,Austin,Texas,78746,2,30.266611,"(30.266611, -97.774918)"
B AUSTIN / STATION 1,Multifamily Commercial,40A,Samdorosa Communities,6700 Manchaca Rd,,,Austin,Texas,78745,2,30.206406,"(30.206406, -97.807047)"
PARK&ZOOM / VALET #2,Parking,40A,Scott Airport Parking LLC,2601 Cardinal Loop,,,Austin,Texas,78617,2,30.213452,"(30.213452, -97.657691)"
HPI 3700 / EV 6,Workplace,40A,HPI Real Estate Company,4339 N Capital of Texas Hwy,,,Austin,Texas,78746,1,30.336616,"(30.336616, -97.8076)"
PRESIDIUM / VUE,Multifamily Commercial,40A,Presidium Group,7607 Blessing Ave,,,Austin,Texas,78752,2,30.333857,"(30.333857, -97.691302)"
CAPMETRO / EVSE 03,Municipal,40A,Capital Metropolitan Transportation Authority,41 N Pleasant Valley Rd,,,Austin,Texas,78702,2,30.257243,"(30.257243, -97.709845)"
PIE AE / OTC 3FL PKGSTA1,Parking,40A,AUSTIN ENERGY,505 BARTON springs rd.,,,Austin,Texas,78704,2,30.256815,"(30.256815, -97.748988)"
MONOGRAM / PARKING 4-5,Multifamily Commercial,40A,Monogram Residential (Austin Energy Area),615 W 7th St,,,Austin,Texas,78701,2,30.270567,"(30.270567, -97.748906)"
PIE AE / SMART CHARGE 1,Workplace,40A,AUSTIN ENERGY,2016 Centimeter Cir,,,Austin,Texas,78758,2,30.381571,"(30.381571, -97.713503)"
COA FLEET - PIE / MEINARD #2,Fleet,40A,US City of Austin Texas,4393-4799 Meinardus Dr,,,Austin,Texas,78744,2,30.211357,"(30.211357, -97.752083)"
PIE AE / PUB UTPICKLE1,Education,40A,AUSTIN ENERGY,Rd A,,,Austin,Texas,78758,2,30.389653,"(30.389653, -97.725036)"
4THANDCHARGE / STATION 5,Multifamily Commercial,40A,Fourth& Master Condominium Community,1800 E 4th St,,3,Austin,Texas,78702,2,30.260389,"(30.260389, -97.724234)"
SLEEP INN / SLEEP INN 1,Hospitality,40A,Sleep Inn & Suites - Austin Northeast,8410 E Hwy 290,,,Austin,Texas,78754,2,30.329889,"(30.329889, -97.661712)"
AMD GO GREEN / P300 FL2,Workplace,40A,AMD,6825 Rialto Blvd,,LEVEL 2,Austin,Texas,78735,2,30.249626,"(30.249626, -97.860776)"
PIE AE / TLC STATI0N 2,Municipal,40A,AUSTIN ENERGY,721 Barton Springs Rd,,1,Austin,Texas,78704,2,30.258333,"(30.258333, -97.75191)"
RIDGE OFFICE / THE RIDGE GW,Multifamily Commercial,40A,The Ridge,6805 Wood Hollow Dr,,,Austin,Texas,78731,2,30.350591,"(30.350591, -97.754534)"
4THANDCHARGE / STATION1,Multifamily Commercial,30A,Fourth& Master Condominium Community,1806 E 4th St,,,Austin,Texas,78702,2,30.260355,"(30.260355, -97.723548)"
HPI 3700 / EV 2,Workplace,40A,HPI Real Estate Company,3700 N Capital of Texas Hwy,,,Austin,Texas,78746,1,30.336797,"(30.336797, -97.806151)"
ENDEAVOR REG / NORDSTROM L2 #2,Parking,40A,Endeavor Real Estate Group,11501 Alterra Pkwy,,,Austin,Texas,78758,2,30.40157,"(30.40157, -97.719909)"
HANOVER / L4,Multifamily Commercial,40A,Hanover- Green Water Block 1,110 San Antonio St,,L4 south,Austin,Texas,78701,1,30.265222,"(30.265222, -97.749115)"
ENDEAVOR REG / BLUE GARAGE #6,Parking,40A,Endeavor Real Estate Group,11811 Domain Dr,,,Austin,Texas,78758,2,30.403736,"(30.403736, -97.722504)"
PIE AE / PUBACCSVSCTRST2,Education,40A,AUSTIN ENERGY,9101 Exchange Dr,,,Austin,Texas,78710,2,30.338568,"(30.338568, -97.66223)"
PIE AE / PUBDENNYSNORTH1,Retail,40A,AUSTIN ENERGY,1601 Interstate 35 Frontage Road,,,Austin,Texas,78702,2,30.276513,"(30.276513, -97.729639)"
DEVLOPER / TRAMMELL CROW 4,Workplace,40A,Trammell Crow- Austin,500 W 2nd St,,,Austin,Texas,78701,2,30.265914,"(30.265914, -97.749008)"
PIE AE / PUB CAMP MABRY1,Parking,40A,AUSTIN ENERGY,Camp Mabry 1 Mile Track,,,Austin,Texas,78703,2,30.316576,"(30.316576, -97.757643)"
PIE AE / ERCOT 2,Workplace,40A,AUSTIN ENERGY,7620 Metro Center Dr,,,Austin,Texas,78744,2,30.216521,"(30.216521, -97.691645)"
PARMER AUSTIN / STATION PIC 3,Workplace,40A,Parmer Innovation Centers-Austin,507 E Howard Ln,,,Austin,Texas,78753,2,30.41332,"(30.41332, -97.654591)"
SAS / SAMSUNG 6,Workplace,40A,Samsung Austin Semiconductor,12100 samsung blvd,,,Austin,Texas,78754,2,30.377439,"(30.377439, -97.639693)"
ENDEAVOR REG / 901 E 6TH ST 5,Workplace,40A,Endeavor Real Estate Group,901 E 6th St,,P1,Austin,Texas,78702,2,30.265144,"(30.265144, -97.733277)"
CZPROPERTIES / FLOOR 2 UNIT 1,Workplace,40A,"CZ Properties, LLC",1400 Lavaca St,,2,Austin,Texas,78701,2,30.276924,"(30.276924, -97.74264)"
CIELO CENTER / STATION 1,Workplace,40A,"ATX Office Owner 5, LP",1250 S Capital of Texas Hwy,,,Austin,Texas,78746,2,30.280344,"(30.280344, -97.823529)"
COA FLEET - PIE / RUTHERFORD #1,Fleet,40A,US City of Austin Texas,1520 Rutherford Ln,,,Austin,Texas,78754,2,30.335861,"(30.335861, -97.679398)"
DSMCUT / EVSE09 FLOOR LL,Healthcare,40A,Dell Seton Medical Center at The University of Texas,1305 Red River St,,LL,Austin,Texas,78701,2,30.275215,"(30.275215, -97.734598)"
DSMCUT / EVSE07 FLOOR L1,Healthcare,40A,Dell Seton Medical Center at The University of Texas,501-573 E 15th St,,1,Austin,Texas,78701,2,30.275236,"(30.275236, -97.734569)"
PIE AE / KRAMER 01,Municipal,40A,AUSTIN ENERGY,2526 Kramer Ln,,,Austin,Texas,78758,2,30.394697,"(30.394697, -97.716885)"
PIE AE / PUBHEBBRODIEST1,Retail,40A,AUSTIN ENERGY,6636-6804 Brodie Ln,,,Austin,Texas,78745,2,30.216125,"(30.216125, -97.829537)"
HYATT PLACE / HP STATION 2,Hospitality,40A,Hyatt Place- ABIA,Presidential Blvd,,,Austin,Texas,78719,2,30.21042,"(30.21042, -97.664868)"
COA FLEET - PIE / RUTHERFORD #6,Fleet,40A,US City of Austin Texas,1520 Rutherford Ln,,,Austin,Texas,78754,2,30.335842,"(30.335842, -97.679443)"
MUELLER MARKET / MUELLER 1,Retail,40A,"Mueller Market Retail , LLC",Garcia Street,,,Austin,Texas,78723,1,30.301411,"(30.301411, -97.699019)"
THE BOWIE / STATION 01,Multifamily Commercial,40A,The Bowie,311 Bowie St,,,Austin,Texas,78703,2,30.269061,"(30.269061, -97.753244)"
COA FLEET - PIE / BARTON #3,Fleet,40A,US City of Austin Texas,505 Barton Springs Rd,,,Austin,Texas,78704,2,30.257259,"(30.257259, -97.749349)"
SAS / STATION 2,Workplace,40A,Samsung Austin Semiconductor,12100 samsung blvd,,,Austin,Texas,78754,2,30.377879,"(30.377879, -97.639587)"
PIE AE / PUB ACC NRIDGE1,Education,40A,AUSTIN ENERGY,Campus Dr,,,Austin,Texas,78758,2,30.404194,"(30.404194, -97.705465)"
1801 E 6TH / AUSTIN 1801 3,Parking,40A,Riverside Resources Corp,1805 E 6th St,,B1,Austin,Texas,78702,2,30.261633,"(30.261633, -97.723906)"
PIE AE / HOWSONBRCHLIBR2,Municipal,40A,AUSTIN ENERGY,2500 Exposition blvd,,,Austin,Texas,78703,2,30.298396,"(30.298396, -97.767903)"
ABOR / PARKING_P2,Workplace,40A,Austin Board of Realtors,4800 Spicewood Springs Rd,Level P2,P2,Austin,Texas,78759,1,30.376544,"(30.376544, -97.76326)"
COA FLEET - PIE / FLOOR 4 ADA,Fleet,40A,US City of Austin Texas,625 E 10th St,,,Austin,Texas,78701,2,30.269745,"(30.269745, -97.734467)"
CZPROPERTIES / FLOOR 3 UNIT 1,Workplace,,"CZ Properties, LLC",1400 Lavaca St,,3,Austin,Texas,78701,2,30.277158,"(30.277158, -97.743015)"
CAPMETRO / EVSE 05,Municipal,40A,Capital Metropolitan Transportation Authority,41 N Pleasant Valley Rd,,,Austin,Texas,78702,2,30.257159,"(30.257159, -97.709911)"
PALOMA RIDGE / PALOMA1,Workplace,40A,"Ascentris-116B, LLC",13620 Ranch Rd 620,,,Austin,Texas,78717,2,30.476801,"(30.476801, -97.778643)"
AISD PAC / AISD PAC #3,Education,40A,Austin Independent School District,1301-1603 E 51st St,,,Austin,Texas,78723,2,30.305343,"(30.305343, -97.702408)"
HYATT PLACE / HP STATION 3,Hospitality,40A,Hyatt Place- ABIA,Presidential Blvd,,,Austin,Texas,78719,2,30.210387,"(30.210387, -97.664586)"
YETI RAMBLERS / EVSE #3,Workplace,40A,Yeti Coolers,7601 Southwest Pkwy,,,Austin,Texas,78735,2,30.255741,"(30.255741, -97.872431)"
SUSTAINABLEFOOD / SUSTAINABLEFOOD,Workplace,40A,Sustainable Food Center,2921 E 17th St,,,Austin,Texas,78702,1,30.278063,"(30.278063, -97.710153)"
THE MEDVE GROUP / TURTLE CREEK,Multifamily Commercial,40A,Daniel Medve Properties,5946 S 1st St,,,Austin,Texas,78745,2,30.204478,"(30.204478, -97.783736)"
CEDARHILLS-AE / CEDARHILL 1,Multifamily Commercial,40A,Camden Cedar Hills,4100 W Slaughter Ln,,,Austin,Texas,78749,2,30.189638,"(30.189638, -97.856428)"
HEB / HEB LAKEWAY #1,Retail,40A,H-E-B Grocery- (Austin Energy),2000 Ranch Rd 620 S,,,Lakeway,Texas,78734,1,30.344323,"(30.344323, -97.967673)"
PIE AE / PUB CAMP MABRY2,Parking,40A,AUSTIN ENERGY,Camp Mabry 1 Mile Track,,,Austin,Texas,78703,2,30.31659,"(30.31659, -97.757581)"
PIE AE / WALNUTCREEKPRK2,Parks and Recreation,40A,AUSTIN ENERGY,12138 N Lamar Blvd,,,Austin,Texas,78753,2,30.398552,"(30.398552, -97.679832)"
PIE AE / PUB DELL3,Healthcare,40A,AUSTIN ENERGY,1345 Philomena St,,,Austin,Texas,78723,2,30.302489,"(30.302489, -97.706912)"
ENDEAVOR REG / 901 E 6TH ST 4,Workplace,40A,Endeavor Real Estate Group,901 E 6th St,,P1,Austin,Texas,78702,2,30.265013,"(30.265013, -97.733449)"
ROSCOE PROPERTI / MESH MAIN,Multifamily Commercial,40A,Roscoe Properties,2100-2134 Elmont Dr,,,Austin,Texas,78741,2,30.240977,"(30.240977, -97.726259)"
PIE_AE CP / STATION 01,Multifamily Commercial,40A,Foundation Communities,11015 four points dr,,,Austin,Texas,78726,2,30.39921,"(30.39921, -97.846895)"
PIE AE / PUB UTPICKLE2,Education,40A,AUSTIN ENERGY,Rd A,,,Austin,Texas,78758,2,30.389602,"(30.389602, -97.725084)"
1801 E 6TH / AUSTIN 1801 2,Parking,40A,Riverside Resources Corp,1805 E 6th St,,,Austin,Texas,78702,2,30.261673,"(30.261673, -97.723468)"
STATION1-PP / PP GARAGE,Workplace,40A,Peloton Real Estate Partners-Austin,8310 N Capital of Texas Hwy,,1,Austin,Texas,78731,2,30.386783,"(30.386783, -97.768747)"
WEINSTEIN / TECH RIDGE 1,Multifamily Commercial,40A,Weinstein Properties,1200 E Parmer Ln,,,Austin,Texas,78753,1,30.39479,"(30.39479, -97.653249)"
PIE AE / CTECC EVSE2,Workplace,40A,AUSTIN ENERGY,5010 Old Manor Rd,,,Austin,Texas,78723,2,30.299223,"(30.299223, -97.692164)"
PIE AE / MILWOOD LIB 2,Municipal,40A,AUSTIN ENERGY,12500 Amherst Dr,,,Austin,Texas,78727,2,30.422284,"(30.422284, -97.71646)"
ARCHER HOTEL / ARCHER AUSTIN,Hospitality,40A,Archer Hotel,3121 Palm Way,,,Austin,Texas,78758,1,30.402048,"(30.402048, -97.721043)"
LADERA BEND / BUILDING 1,Workplace,40A,Ladera Bend,6700 Jester Blvd,,,Austin,Texas,78750,2,30.373991,"(30.373991, -97.802572)"
ENDEAVOR REG / NORDSTROM L2 #3,Parking,40A,Endeavor Real Estate Group,Alterra Pkwy,,,Austin,Texas,78758,2,30.401619,"(30.401619, -97.719889)"
COA FLEET - PIE / BARTON #2,Fleet,40A,US City of Austin Texas,505 Barton Springs Rd,,,Austin,Texas,78704,2,30.257282,"(30.257282, -97.749347)"
HPE AUSTIN / TXN04 A,Workplace,40A,HPE - Austin,14231 Tandem Blvd,,,Austin,Texas,78728,2,30.445476,"(30.445476, -97.690074)"
PIE AE / PUBGABLES 5TH 2,Multifamily Commercial,40A,AUSTIN ENERGY,1611 W 5th St,,L1,Austin,Texas,78703,2,30.274388,"(30.274388, -97.764731)"
COA FLEET - PIE / RUTHERFORD #8,Fleet,40A,US City of Austin Texas,1520 Rutherford Ln,,,Austin,Texas,78754,2,30.335829,"(30.335829, -97.679459)"
COA / LOT J SW,Municipal,40A,City of Austin Dept. of Aviation,10137 Hotel Dr,,,Austin,Texas,78719,2,30.207559,"(30.207559, -97.661039)"
HIDAUSTIN / STATION 02,Workplace,40A,HID Global- Austin,611 Center Ridge Dr,,,Austin,Texas,78753,2,30.414361,"(30.414361, -97.666176)"
COA FLEET - PIE / ROOF 1,Fleet,40A,US City of Austin Texas,700-798 E 9th St,,,Austin,Texas,78701,2,30.268921,"(30.268921, -97.734787)"
GIBSON FLATS / STATION 2,Multifamily Commercial,40A,Gibson Flats,1219 S Lamar Blvd,,2nd,Austin,Texas,78704,2,30.254054,"(30.254054, -97.761959)"
PIE AE / CITY HALL STAT1,Parking,40A,AUSTIN ENERGY,400 W 2nd St,,P2,Austin,Texas,78701,2,30.264942,"(30.264942, -97.746925)"
MUELLER MARKET / MUELLER 6,Retail,40A,"Mueller Market Retail , LLC",1801 E 51st St,,,Austin,Texas,78723,1,30.301591,"(30.301591, -97.699535)"
ENCINO STATIONS / STATION 1,Workplace,40A,"ATX Office Owner 2, LP",5707 Southwest Pkwy,,,Austin,Texas,78735,2,30.243726,"(30.243726, -97.845725)"
PIE PRESERVE / MAIN GATEWAY 1,Multifamily Commercial,40A,The Preserve at Travis Creek,5604 Southwest Pkwy,,,Austin,Texas,78735,2,30.246834,"(30.246834, -97.846018)"
8611 MOPAC LLC / MOPAC 1,Workplace,40A,Mopac Centre,8611 Mopac Service Rd,,,Austin,Texas,78759,2,30.373296,"(30.373296, -97.739942)"
ENDEAVOR REG / RED GARAGE #3,Parking,40A,Endeavor Real Estate Group,11501 Domain Dr,,,Austin,Texas,78758,2,30.402156,"(30.402156, -97.723219)"
CHAMPION OFFICE / EV #1,Workplace,40A,Champion Office Park,6433 Champion Grandview Way,,1,Austin,Texas,78750,2,30.363141,"(30.363141, -97.793613)"
RAINEY STREET / MILLENNIUM 01,Multifamily Commercial,40A,THE MILLENNIUM RAINEY,91 Rainey St,,L2,Austin,Texas,78701,2,30.260803,"(30.260803, -97.737765)"
PIE AE / PUBACCRIVERSID1,Education,40A,AUSTIN ENERGY,1230-1290 Grove Blvd,,,Austin,Texas,78741,2,30.235093,"(30.235093, -97.705194)"
ENDEAVOR REG / BLUE GARAGE #5,Parking,40A,Endeavor Real Estate Group,11811 Domain Dr,,,Austin,Texas,78758,2,30.403862,"(30.403862, -97.72246)"
NATIONAL INSTRU / 7&8,Workplace,40A,National Instruments,11500 N Mopac Expy,,2nd,Austin,Texas,78759,2,30.408505,"(30.408505, -97.727699)"
DSMCUT / EVSE02 FLOOR L6,Healthcare,40A,Dell Seton Medical Center at The University of Texas,501-573 E 15th St,,6,Austin,Texas,78701,2,30.275264,"(30.275264, -97.734579)"
BRANDYWINE AUST / FOUR POINTS 1,Multifamily Commercial,40A,Brandywine Properties I Limited Inc.,11120 4 Points Dr,,1st,Austin,Texas,78726,2,30.405365,"(30.405365, -97.84813)"
MONOGRAM / HANDICAP,Multifamily Commercial,40A,Monogram Residential (Austin Energy Area),615 W 7th St,,,Austin,Texas,78701,1,30.270571,"(30.270571, -97.748993)"
RPP GARAGE / ISLAND 2,Workplace,40A,Research Park Plaza,12301 Research Blvd,,,Austin,Texas,78759,1,30.427967,"(30.427967, -97.754411)"
PIE AE / PUB-CENTRALMKTN,Retail,40A,AUSTIN ENERGY,4001-4099 N Lamar Blvd,,,Austin,Texas,78756,2,30.308484,"(30.308484, -97.740767)"
PIE AE / PALMER STATION6,Parking,40A,AUSTIN ENERGY,900 Barton Springs Rd,,,Austin,Texas,78704,2,30.25989,"(30.25989, -97.752711)"
SCHOOL / KEALING1,Education,40A,Austin Independent School District,1607 Pennsylvania Ave,,,Austin,Texas,78702,2,30.271324,"(30.271324, -97.722928)"
HPI 3700 / 3900 SC 4,Workplace,40A,HPI Real Estate Company,3900 N Capital of Texas Hwy,,,Austin,Texas,78746,2,30.337935,"(30.337935, -97.808041)"
AUSTIN / AUSTIN 200 1,Workplace,40A,Silicon Laboratories,200 W Cesar Chavez St,,G8,Austin,Texas,78701,2,30.264423,"(30.264423, -97.746071)"
HANOVER / L6,Multifamily Commercial,40A,Hanover- Green Water Block 1,110 San Antonio St,,L5,Austin,Texas,78701,1,30.265239,"(30.265239, -97.74912)"
NATIONAL INSTRU / 19&20;,Workplace,40A,National Instruments,11500 N Mopac Expy,,1st,Austin,Texas,78759,2,30.40854,"(30.40854, -97.72767)"
PIE AE / PALMER STATION2,Municipal,40A,AUSTIN ENERGY,736-820 Barton Springs Rd,,L2,Austin,Texas,78704,2,30.259201,"(30.259201, -97.751695)"
PIE AE / NWRECCENTER 1,Parking,40A,AUSTIN ENERGY,2913 Marilyn Dr,,,Austin,Texas,78757,2,30.33403,"(30.33403, -97.751448)"
PEARL LANTANA / STATION 01,Multifamily Commercial,40A,Pearl Lantana,6401 Rialto Blvd,,,Austin,Texas,78735,2,30.249015,"(30.249015, -97.857732)"
STEINER RANCH / EV CHARGER #1,Multifamily Commercial,40A,Bell Steiner Ranch Apartments,4800 Steiner Ranch Blvd,,,Austin,Texas,78732,2,30.383357,"(30.383357, -97.873053)"
ENDEAVOR REG / NORDSTROM L1 #2,Parking,40A,Endeavor Real Estate Group,11501 Alterra Pkwy,,,Austin,Texas,78758,2,30.401589,"(30.401589, -97.720053)"
DOMAIN / STATION 1,Parking,40A,Domain Junction,11601 Alterra Parkway,,,Austin,Texas,78758,2,30.40227,"(30.40227, -97.718828)"
COA FLEET - PIE / TOOMEY #1,Fleet,40A,US City of Austin Texas,1501 Toomey Rd,,,Austin,Texas,78704,2,30.263723,"(30.263723, -97.759262)"
PIE AE / ROSEWOOD PARK2,Parking,40A,AUSTIN ENERGY,Rosewood Neighborhood Park Pedestrian Walkway,,,Austin,Texas,78702,2,30.271778,"(30.271778, -97.713958)"
HANOVER / L1,Multifamily Commercial,40A,Hanover- Green Water Block 1,110 San Antonio St,,L1,Austin,Texas,78701,1,30.265311,"(30.265311, -97.74952)"
MIRA VISTA / STATION 1,Workplace,40A,CLPF-Mira Vista LLC,2705 Bee Cave Rd,,P1,Austin,Texas,78746,2,30.269525,"(30.269525, -97.786972)"
4THANDCHARGE / STATION 4,Multifamily Commercial,40A,Fourth& Master Condominium Community,1800 E 4th St,,3,Austin,Texas,78702,2,30.260459,"(30.260459, -97.724137)"
PARMER AUSTIN / PIC #2,Workplace,40A,Parmer Innovation Centers-Austin,13011c McCallen Pass,,,Austin,Texas,78753,2,30.409607,"(30.409607, -97.659318)"
MUELLER MARKET / MUELLER 2,Retail,40A,"Mueller Market Retail , LLC",1801 E 51st St,,,Austin,Texas,78723,1,30.302981,"(30.302981, -97.698722)"
PARK&ZOOM / VALET #4,Parking,40A,Scott Airport Parking LLC,9518 Hotel Dr,,,Austin,Texas,78719,2,30.21145,"(30.21145, -97.662103)"
PIE AE / PUB ACC NRIDGE4,Education,40A,AUSTIN ENERGY,11928 Stonehollow Dr,,,Austin,Texas,78758,2,30.404169,"(30.404169, -97.705771)"
RIALTO / STATION1,Workplace,40A,7500 Rialto,7500 Rialto Blvd,,,Austin,Texas,78735,2,30.254075,"(30.254075, -97.870716)"
PIE AE / TECHNICENTER1,Municipal,40A,AUSTIN ENERGY,4101 Ed Bluestein Blvd,,,Austin,Texas,78721,2,30.276909,"(30.276909, -97.666756)"
SAS / SAMSUNG 5,Workplace,40A,Samsung Austin Semiconductor,12100 samsung blvd,,,Austin,Texas,78754,2,30.377397,"(30.377397, -97.639766)"
PARK&ZOOM / VALET #1,Parking,40A,Scott Airport Parking LLC,9518 Hotel Dr,,,Austin,Texas,78719,2,30.211273,"(30.211273, -97.661835)"
PIE AE / PUBACCSVSCTRST1,Education,40A,AUSTIN ENERGY,9101 Tuscany Way,,,Austin,Texas,78754,2,30.344088,"(30.344088, -97.665823)"
PIE AE / PUBCHASEESCAL2,Retail,40A,AUSTIN ENERGY,4301 Westbank Dr,,,Austin,Texas,78746,1,30.275649,"(30.275649, -97.817129)"
AVIATION / 2ND FLOOR R,Municipal,30A,City of Austin Dept. of Aviation,3201 Presidential Blvd,,2,Austin,Texas,78719,2,30.204572,"(30.204572, -97.669392)"
BV LAKEWAY / STATION1,Multifamily Commercial,40A,Belmont Village Senior Living,107 Bella Montagna Cir,,,Lakeway,Texas,78734,2,30.35822,"(30.35822, -97.958301)"
ENDEAVOR REG / NORDSTROM L1 #1,Parking,40A,Endeavor Real Estate Group,11501 Alterra Pkwy,,,Austin,Texas,78758,2,30.401522,"(30.401522, -97.720071)"
PRESIDIUM / ELEVATION,Multifamily Commercial,40A,Presidium Group,1911 Willow Creek Dr,,,Austin,Texas,78741,2,30.233914,"(30.233914, -97.727254)"
COA FLEET - PIE / ROOF6,Fleet,40A,US City of Austin Texas,700-798 E 9th St,,,Austin,Texas,78701,2,30.268866,"(30.268866, -97.734612)"
DSMCUT / EVSE06 FLOOR L2,Healthcare,40A,Dell Seton Medical Center at The University of Texas,501-573 E 15th St,,2,Austin,Texas,78701,2,30.275229,"(30.275229, -97.734575)"
CTM / CTM,Municipal,,CTM,1124 IH 35,,,Austin,Texas,78704,2,30.244744,"(30.244744, -97.735798)"
COA FLEET - PIE / RUTHERFORD #5,Fleet,40A,US City of Austin Texas,1520 Rutherford Ln,,,Austin,Texas,78754,2,30.335863,"(30.335863, -97.679329)"
ABOR / PARKING_P3,Workplace,40A,Austin Board of Realtors,4800 Spicewood Springs Rd,Level P3,P3,Austin,Texas,78759,2,30.376555,"(30.376555, -97.763272)"
100 CONGRESS / STATION 1,Parking,40A,100 Congress,100 Congress Ave,,P3,Austin,Texas,78701,2,30.263961,"(30.263961, -97.744801)"
PIE AE / PALMER STATION5,Parking,40A,AUSTIN ENERGY,900 Barton Springs Rd,,,Austin,Texas,78704,2,30.259881,"(30.259881, -97.752744)"
GIBSON FLATS / STATION1,Multifamily Commercial,40A,Gibson Flats,1219 S Lamar Blvd,,,Austin,Texas,78704,2,30.254007,"(30.254007, -97.762023)"
HPI 3700 / EV 3,Workplace,40A,HPI Real Estate Company,3700 N Capital of Texas Hwy,,,Austin,Texas,78746,1,30.336765,"(30.336765, -97.806189)"
BEXLEYTECHRIDGE / CLUBHOUSE,Multifamily Commercial,40A,Springs at Tech Ridge,1200 East Parmer Lane,,,Austin,Texas,78753,1,30.394787,"(30.394787, -97.653242)"
ENDEAVOR REG / STATION1,Workplace,40A,Endeavor Real Estate Group,11001 Lakeline Blvd,,,Austin,Texas,78717,2,30.479716,"(30.479716, -97.793285)"
CAPMETRO / EVSE 02,Municipal,40A,Capital Metropolitan Transportation Authority,624 N Pleasant Valley Rd,,,Austin,Texas,78702,2,30.259061,"(30.259061, -97.710666)"
PIE AE / MILWOOD LIB 1,Municipal,40A,AUSTIN ENERGY,12500 Amherst Dr,,,Austin,Texas,78727,2,30.422307,"(30.422307, -97.716492)"
HABITAT SUITES / DUAL PORT,Hospitality,40A,Habitat Suites Hotel,500 E Highland Mall Blvd,,,Austin,Texas,78752,2,30.329139,"(30.329139, -97.709555)"
THE BOWIE / STATION 02,Multifamily Commercial,40A,The Bowie,311 Bowie St,,,Austin,Texas,78703,2,30.268994,"(30.268994, -97.753136)"
SILVER DOLLAR 1 / VAPRO SUPPLY,Workplace,40A,VAPRO Supply,3600 Silver Dollar Cir,,,Austin,Texas,78744,2,30.205844,"(30.205844, -97.711346)"
PIE AE / PUB ACC EVIEW2,Education,40A,AUSTIN ENERGY,3401 Webberville Rd,,,Austin,Texas,78702,2,30.268166,"(30.268166, -97.706101)"
CHEVY MAIN / AUTONATION MAIN,Retail,40A,AutoNation Chevrolet,11400 Research Blvd,,,Austin,Texas,78759,2,30.409556,"(30.409556, -97.745947)"
PIE AE / ANIMAL SERVICE4,Municipal,40A,AUSTIN ENERGY,7201 Levander Loop,,,Austin,Texas,78721,2,30.251539,"(30.251539, -97.690799)"
ENDEAVOR REG / 901 E 6TH ST 3,Multifamily Commercial,40A,Endeavor Real Estate Group,901 E 6th St,,P1,Austin,Texas,78702,2,30.264999,"(30.264999, -97.733411)"
PARK PLAZA / STATION1,Multifamily Commercial,40A,Gables Park Plaza,115 Sandra Muraida Way,,1,Austin,Texas,78703,2,30.268266,"(30.268266, -97.755017)"
NATIONAL INSTRU / 11&12;,Workplace,40A,National Instruments,11500 N Mopac Expy,,1st,Austin,Texas,78759,2,30.408722,"(30.408722, -97.725271)"
FLATIRON DOMAIN / FLATIRON DOM 2,Multifamily Commercial,40A,Flatiron Domain Apartments,10727 domain dr,,2,Austin,Texas,78758,2,30.392852,"(30.392852, -97.723729)"
PIE AE / PUBHILL.CGAL2,Retail,40A,AUSTIN ENERGY,12701 Hill Country Blvd,,,Bee Cave,Texas,78738,2,30.307769,"(30.307769, -97.93863)"
PIE AE / ERCOT 3,Workplace,40A,AUSTIN ENERGY,7615-7639 Metro Center Dr,,,Austin,Texas,78744,2,30.216505,"(30.216505, -97.691533)"
5000 BURNET / STATION 1,Hospitality,40A,5000 Burnet,5000 Burnet Rd,,,Austin,Texas,78756,2,30.321482,"(30.321482, -97.739565)"
ROSCOE PROPERTI / VOLUME MAIN,Multifamily Commercial,40A,Roscoe Properties,1715 E 32nd St,,,Austin,Texas,78722,2,30.28544,"(30.28544, -97.715107)"
PIE AE / ROSEWOOD PARK1,Parking,40A,AUSTIN ENERGY,Rosewood Neighborhood Park Pedestrian Walkway,,,Austin,Texas,78702,2,30.271704,"(30.271704, -97.713959)"
COA FLEET - PIE / ED BLUE #3,Fleet,40A,US City of Austin Texas,4201 Ed Bluestein Blvd,,,Austin,Texas,78725,2,30.277632,"(30.277632, -97.666283)"
COA FLEET - PIE / BARTON #1,Fleet,40A,US City of Austin Texas,505 Barton Springs Rd,,,Austin,Texas,78704,2,30.257306,"(30.257306, -97.749355)"
LCPM / GARAGE 1,Workplace,40A,"Highland Resources, Inc.",3800 N. Lamar Blvd,,P1,Austin,Texas,78756,1,30.306188,"(30.306188, -97.743433)"
AVIATION / 1ST FLOOR GARAG,Municipal,30A,City of Austin Dept. of Aviation,3201 Presidential Blvd,,1,Austin,Texas,78719,2,30.204582,"(30.204582, -97.669275)"
